CustomerKey,Recency_Days,Frequency,Monetary,FirstPurchaseDate,LastPurchaseDate,TotalOrders,TotalQuantity,TotalRevenue,AvgOrderValue,StdOrderValue,TotalProfit,CustomerLifetime_Days,AvgDaysBetweenOrders,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,238,2,4656.3896,2016-07-22,2016-11-04,2,10,4656.3896,665.1985142857144,1071.3448295568137,1960.0790000000004,105,52.5,MR.,JON,YANG,1966-04-08,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11001,18,2,2821.2122000000004,2016-07-20,2017-06-12,2,15,2821.2122000000004,282.12122000000005,649.4029888451801,1255.4709,327,163.5,MR.,EUGENE,HUANG,1965-05-14,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
11002,307,2,4466.812400000001,2016-07-04,2016-08-27,2,3,4466.812400000001,1488.937466666667,1271.4009578818216,1867.0367,54,27.0,MR.,RUBEN,TORRES,1965-08-12,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11003,231,2,4532.9866,2016-07-09,2016-11-11,2,11,4532.9866,566.623325,1022.4570130359904,1902.9618000000003,125,62.5,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11004,240,2,4568.0838,2016-07-26,2016-11-02,2,6,4568.0838,913.6167600000001,1204.7177799482035,1926.7349000000004,99,49.5,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11005,239,2,4502.7596,2016-07-27,2016-11-03,2,6,4502.7596,900.5519200000001,1216.6480556826746,1885.2867000000006,99,49.5,MR.,JULIO,RUIZ,1965-08-05,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11007,283,2,4590.742399999999,2016-07-25,2016-09-20,2,9,4590.742399999999,655.8203428571427,1070.630986669392,1944.6168000000002,57,28.5,MR.,MARCO,MEHTA,1964-05-09,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11008,300,2,4502.6982,2016-07-07,2016-09-03,2,9,4502.6982,750.4497,1140.639185900844,1888.9458000000002,58,29.0,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11009,232,2,4471.392400000001,2016-07-24,2016-11-10,2,5,4471.392400000001,1117.8481000000002,1276.1150167653957,1869.9037000000003,109,54.5,MR.,SHANNON,CARLSON,1964-04-01,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11010,218,2,4459.1008,2016-07-15,2016-11-24,2,5,4459.1008,1486.3669333333335,1275.8145861303253,1854.2373000000002,132,66.0,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11011,283,2,4487.1582,2016-07-29,2016-09-20,2,3,4487.1582,1495.7194,1259.7576250283544,1857.8380000000002,53,26.5,MR.,CURTIS,LU,1963-11-04,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11012,74,2,91.1842,2016-09-17,2017-04-17,2,8,91.1842,18.23684,14.817875418831136,57.6362,212,106.0,MRS.,LAUREN,WALKER,1968-01-18,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11013,258,1,41.6242,2016-10-15,2016-10-15,1,3,41.6242,20.8121,18.14732985372779,26.6118,0,0.0,MR.,IAN,JENKINS,1968-08-06,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11014,241,2,190.8927,2016-09-24,2016-11-01,2,10,190.8927,31.81545,22.66903243438061,117.8891,38,19.0,MRS.,SYDNEY,BENNETT,1968-05-09,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N
11015,343,1,2274.3796,2016-07-22,2016-07-22,1,4,2274.3796,758.1265333333334,1138.798735341787,1080.6167,0,0.0,MS.,CHLOE,YOUNG,1979-02-27,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N
11016,321,1,2088.6782,2016-08-13,2016-08-13,1,4,2088.6782,696.2260666666666,1171.7203595407964,968.0651999999999,0,0.0,MR.,WYATT,HILL,1979-04-28,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11017,75,2,2835.4082,2016-07-05,2017-04-16,2,4,2835.4082,945.1360666666666,1017.8341917524746,1251.7124,285,142.5,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11018,65,2,2919.3338000000003,2016-07-20,2017-04-26,2,9,2919.3338000000003,486.5556333333334,827.6390119354444,1301.1071000000002,280,140.0,MR.,CLARENCE,RAI,1944-10-09,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11019,18,15,961.9158,2016-08-16,2017-06-12,15,51,961.9158,33.169510344827586,28.011226682010204,543.4856,300,20.0,MR.,LUKE,LAL,1978-03-07,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11020,363,1,2093.0582,2016-07-02,2016-07-02,1,3,2093.0582,1046.5291,1417.8468184361877,970.8072,0,0.0,MR.,JORDAN,KING,1978-09-20,S,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11021,338,1,2148.0481999999997,2016-07-27,2016-07-27,1,4,2148.0481999999997,716.0160666666666,1154.4961653831567,1005.2309,0,0.0,MS.,DESTINY,WILSON,1978-09-03,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11022,341,1,2073.7096,2016-07-24,2016-07-24,1,2,2073.7096,1036.8548,1463.0955713138087,954.9972000000001,0,0.0,MR.,ETHAN,ZHANG,1978-10-12,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11023,313,1,142.93,2016-08-21,2016-08-21,1,6,142.93,35.7325,18.839284089370274,68.09410000000001,0,0.0,MR.,SETH,EDWARDS,1978-10-11,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,154,2,78.02000000000001,2016-12-29,2017-01-27,2,11,78.02000000000001,13.003333333333336,11.56307513884895,48.840199999999996,29,14.5,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11025,64,2,2975.2196000000004,2016-07-24,2017-04-27,2,6,2975.2196000000004,595.0439200000001,877.5471497046938,1314.1566000000003,277,138.5,,ALEJANDRO,BECK,1945-12-23,M,,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11026,74,2,2988.8058,2016-09-28,2017-04-17,2,10,2988.8058,498.1343,819.9833815632682,1342.2281000000003,201,100.5,MR.,HAROLD,SAI,1946-04-03,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11027,65,2,2998.9008,2016-11-24,2017-04-26,2,13,2998.9008,374.8626,720.6945838025108,1325.2616,153,76.5,MR.,JESSIE,ZHAO,1946-12-07,M,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11028,82,2,2853.3496,2016-11-14,2017-04-09,2,5,2853.3496,713.3374,967.4205692129838,1259.2459000000003,146,73.0,MRS.,JILL,JIMENEZ,1946-04-11,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11029,47,2,2929.3638,2016-11-02,2017-05-14,2,8,2929.3638,488.2273,826.5757117247107,1286.0058000000001,193,96.5,MR.,JIMMY,MORENO,1946-12-21,M,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11030,49,2,2831.058,2017-01-25,2017-05-12,2,4,2831.058,943.686,1041.7609540462536,1240.3469000000002,107,53.5,MRS.,BETHANY,YUAN,1947-02-22,M,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11031,45,2,2839.0296000000003,2017-01-16,2017-05-16,2,6,2839.0296000000003,567.80592,898.637620571959,1250.2815,120,60.0,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11032,50,2,2954.5380000000005,2017-02-12,2017-05-11,2,15,2954.5380000000005,328.28200000000004,696.0618494450332,1317.6451000000002,88,44.0,MRS.,DENISE,STONE,1947-06-11,M,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11033,53,2,2892.6622,2017-02-02,2017-05-08,2,9,2892.6622,482.1103666666667,830.5581195374053,1279.4661,95,47.5,MR.,JAIME,NATH,1947-09-23,M,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11034,48,2,2845.4382,2017-02-07,2017-05-13,2,3,2845.4382,948.4794,1013.4007990844885,1236.6111,95,47.5,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11035,43,2,2832.7396000000003,2017-03-13,2017-05-18,2,5,2832.7396000000003,708.1849000000001,972.2721998686239,1246.3440000000003,66,33.0,,WENDY,DOMINGUEZ,1948-02-24,M,,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11036,339,1,2105.0638000000004,2016-07-26,2016-07-26,1,2,2105.0638000000004,1052.5319000000002,1440.9248038751293,975.1801000000002,0,0.0,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11037,341,1,2182.2781999999997,2016-07-24,2016-07-24,1,11,2182.2781999999997,311.75402857142853,766.4198742344862,1026.6587,0,0.0,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N
11038,46,2,2813.7696,2017-03-04,2017-05-15,2,2,2813.7696,1406.8848,939.7941268288923,1234.4689000000003,72,36.0,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y
11039,47,2,3040.8864000000003,2017-03-23,2017-05-14,2,13,3040.8864000000003,380.11080000000004,727.4681096888775,1366.7547000000002,52,26.0,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y
11040,268,1,2133.3596000000002,2016-10-05,2016-10-05,1,5,2133.3596000000002,711.1198666666668,1178.1257417950146,992.3381000000002,0,0.0,MR.,JESSE,MURPHY,1977-08-01,M,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11041,347,1,2134.5782,2016-07-18,2016-07-18,1,3,2134.5782,711.5260666666667,1158.5574593011834,996.7986999999999,0,0.0,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11042,72,2,2861.8369000000002,2016-07-25,2017-04-19,2,3,2861.8369000000002,953.9456333333334,1028.1382039945424,1250.8118000000002,268,134.0,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y
11043,131,2,60.2684,2016-11-09,2017-02-19,2,5,60.2684,20.089466666666667,13.726054817511598,32.7834,102,51.0,MR.,NATHAN,SIMMONS,1976-02-24,M,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11044,50,2,2908.3982,2017-05-07,2017-05-11,2,8,2908.3982,484.73303333333337,817.8817854697625,1276.0239000000001,4,2.0,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y
11045,60,2,141.67149999999998,2016-10-12,2017-05-01,2,6,141.67149999999998,35.417874999999995,18.459819833605273,75.4941,201,100.5,MR.,LEONARD,NARA,1950-05-19,S,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11046,46,2,3015.8558000000003,2017-05-01,2017-05-15,2,6,3015.8558000000003,603.1711600000001,871.8698000045466,1359.1616000000004,14,7.0,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11047,39,2,2933.7696,2017-05-07,2017-05-22,2,3,2933.7696,977.9232000000001,996.8102443467966,1309.5889000000002,15,7.5,MRS.,JACLYN,LU,1950-02-27,M,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11048,3,2,2908.5865999999996,2017-05-17,2017-06-27,2,11,2908.5865999999996,415.5123714285714,768.6892154555956,1271.1973,41,20.5,MR.,JEREMY,POWELL,1950-11-22,M,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11049,60,2,96.52,2016-09-10,2017-05-01,2,9,96.52,19.304,14.576828530239354,60.421200000000006,233,116.5,MS.,CAROL,RAI,1980-07-18,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y
11050,39,2,1652.9442,2016-09-17,2017-05-22,2,6,1652.9442,330.58884,388.53897511411645,719.5032000000001,247,123.5,MR.,ALAN,ZHENG,1951-09-07,M,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y
11052,214,2,4519.0724,2016-07-25,2016-11-28,2,8,4519.0724,753.1787333333333,1138.552611807048,1899.7513000000001,126,63.0,MRS.,HEIDI,LOPEZ,1951-08-07,S,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N
11053,344,1,2082.7424,2016-07-21,2016-07-21,1,2,2082.7424,1041.3712,1425.141190569552,964.9046,0,0.0,MS.,ANA,PRICE,1980-08-20,M,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11054,211,2,4577.138199999999,2016-07-11,2016-12-01,2,5,4577.138199999999,915.4276399999999,1193.7040565047303,1914.1654000000003,143,71.5,MRS.,DEANNA,MUNOZ,1952-03-10,M,F,deanna33@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11055,203,2,4557.0838,2016-08-08,2016-12-09,2,9,4557.0838,651.0119714285714,1080.9453831912288,1919.8487000000005,123,61.5,MR.,GILBERT,RAJE,1952-03-05,M,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11056,210,2,4596.6319,2016-08-07,2016-12-02,2,9,4596.6319,656.6617,1077.1286655226154,1922.3192000000004,117,58.5,MRS.,MICHELE,NATH,1953-04-03,M,F,michele19@adventure-works.com,"$40,000 ",3,Partial College,Skilled Manual,Y
11057,220,2,4464.479600000001,2016-07-31,2016-11-22,2,3,4464.479600000001,1488.1598666666669,1290.5019135964324,1861.3235000000004,114,57.0,MR.,CARL,ANDERSEN,1953-10-12,M,M,carl12@adventure-works.com,"$70,000 ",2,Graduate Degree,Management,Y
11058,206,2,4598.113800000001,2016-07-08,2016-12-06,2,5,4598.113800000001,919.6227600000002,1199.2820324060258,1924.1536000000006,151,75.5,MR.,MARC,DIAZ,1954-04-27,M,M,marc6@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11059,286,3,179.1784,2016-08-22,2016-09-17,3,13,179.1784,25.596914285714288,18.471043680621527,85.8407,26,8.666666666666666,MRS.,ASHLEE,ANDERSEN,1954-04-01,S,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11060,185,2,4523.4296,2016-07-08,2016-12-27,2,8,4523.4296,904.6859200000001,1212.8538181014364,1898.2260000000003,172,86.0,MR.,JON,ZHOU,1954-03-17,M,M,jon28@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11061,196,2,4520.4396,2016-07-04,2016-12-16,2,7,4520.4396,904.0879199999999,1213.4060727570272,1896.3543000000004,165,82.5,MR.,TODD,GAO,1954-02-27,M,M,todd14@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
